sigma0,loop_voltage,e_phi_min,e_phi_max,total_toroidal_current,absolute_toroidal_current,max_delta_b,max_feedback,rms_feedback,classification,max_abs_j_phi,max_abs_force,max_joule_heating,integrated_joule_power,integrated_mechanical_power,integrated_electric_power,integrated_power_balance_residual,max_abs_power_balance_residual,net_axisymmetric_torque,max_abs_axisym_divJ,max_wall_normal_current,max_abs_boundary_current,net_boundary_current
500000.0,0.5,0.039788735772973836,0.07957747154594767,27450.896987786597,27450.896987786597,0.014900415994832926,0.002980083198966585,0.0018641709198063904,two-way-candidate,38669.561057514366,7283.5894083035655,3065.5340886207896,13724.834106853916,0.6143870393826205,13725.448493893298,-5.069965648705352e-14,1.3642420526593924e-12,9.25672762839018,4.96527263749158e-11,0.0,0.0,0.0
500000.0,1.0,0.07957747154594767,0.15915494309189535,54905.27949738723,54905.27949738723,0.029792477448616156,0.005958495489723231,0.003730002864161077,two-way-candidate,77662.52211502873,14051.805602038656,12309.117022994542,54902.92234944083,2.357147946401483,54905.27949738723,5.209759418105531e-13,3.637978807091713e-12,9.25672762839018,4.96527263749158e-11,0.0,0.0,0.0
800000.0,0.0,0.0,0.0,-5.7435707924184385,306.3360207218433,0.00011191399042129962,2.2382798084259924e-05,1.4089945332724943e-05,weak-feedback,661.4399999999969,1023.0950297434376,0.5159231999999951,1.6032276349564234,-1.6032276349564207,2.5049406993105094e-15,5.5940258150857985e-18,4.85722573273506e-16,9.256727628390252,8.327560863108374e-11,0.0,0.0,0.0
800000.0,0.05,0.0039788735772973835,0.007957747154594767,4386.957630743684,4386.957630743684,0.0023961327932067143,0.00047922655864134284,0.00029613679917456155,weak-feedback,6483.112093403132,1970.045712225186,55.84770564743566,220.66393063251968,-1.3160490953355009,219.34788153718415,-3.801776662829409e-16,2.1316282072803006e-14,9.256727628390252,8.327560863108374e-11,0.0,0.0,0.0
800000.0,0.1,0.007957747154594767,0.015915494309189534,8779.658832279787,8779.658832279787,0.004778669863746358,0.0009557339727492715,0.0005945094068996227,weak-feedback,12519.738322021494,2954.0284641431244,206.66272482360412,878.9947537836931,-1.0288705557145796,877.9658832279785,7.093452557825019e-16,8.526512829121202e-14,9.256727628390252,8.327560863108374e-11,0.0,0.0,0.0
800000.0,0.2,0.015915494309189534,0.03183098861837907,17565.06123535199,17565.06123535199,0.009544035676697706,0.0019088071353395412,0.0011914982830153174,two-way-candidate,24692.058516727622,4971.641093599242,797.2500954704915,3513.4667605468703,-0.4545134764727372,3513.012247070398,-3.226278360657984e-14,3.410605131648481e-13,9.256727628390252,8.327560863108374e-11,0.0,0.0,0.0
800000.0,0.5,0.039788735772973836,0.07957747154594767,43921.268444568595,43921.268444568595,0.023840367630964462,0.0047680735261928925,0.002982658414947854,two-way-candidate,61871.29769202298,11293.024308206508,4904.845681993516,21959.365664523044,1.2685577612527936,21960.6342222843,9.100546485004099e-14,1.8189894035458565e-12,9.256727628390252,8.327560863108374e-11,0.0,0.0,0.0
800000.0,1.0,0.07957747154594767,0.15915494309189535,87848.2804599296,87848.2804599296,0.047667665921175856,0.00953353318423517,0.0059679895521063215,two-way-candidate,124260.03538404596,22474.81319407881,19694.587236791267,87844.14011677215,4.1403431574619844,87848.2804599296,-5.448887682329013e-13,7.275957614183426e-12,9.256727628390252,8.327560863108374e-11,0.0,0.0,0.0
1200000.0,0.0,0.0,0.0,-8.754302763592761,459.350042628442,0.00016784433167014618,3.3568866334029235e-05,2.112829416010746e-05,weak-feedback,992.1599999999953,1037.5958367031872,0.7738847999999927,2.296493725944201,-2.2964937259442033,-2.157996004115148e-15,-8.236224842119965e-18,4.440892098500626e-16,9.256727628390095,1.1795009413617663e-10,0.0,0.0,0.0
1200000.0,0.05,0.0039788735772973835,0.007957747154594767,6580.29749954056,6580.29749954056,0.0035939514589777713,0.0007187902917955543,0.0004441922786348543,weak-feedback,9724.662408274997,2472.139569112327,83.77155847115351,330.87365356479256,-1.8587785877645686,329.01487497702806,3.3374541690320098e-16,2.842170943040401e-14,9.256727628390095,1.1795009413617663e-10,0.0,0.0,0.0
