material,electron_density,electron_temperature_ev,heat_flux,surface_delta_t,surface_temperature_gradient,marangoni_shear,surface_velocity,mean_velocity
Li,3.821892620633115e+18,2.828600681137559,140643.32524525278,1.548743639180742,77.4371819590371,-0.007743718195903711,-0.0344165253151276,-0.0172082626575638
Li,4.051304969235378e+18,2.828600681137559,149085.5602221215,1.6417082907068263,82.08541453534131,-0.008208541453534132,-0.036482406460151696,-0.018241203230075848
Li,4.294487988789272e+18,2.828600681137559,158034.5475193039,1.740253224349799,87.01266121748995,-0.008701266121748995,-0.03867229387443998,-0.01933614693721999
Li,4.5522682755073096e+18,2.828600681137559,167520.70537496172,1.84471340128031,92.2356700640155,-0.00922356700640155,-0.04099363113956245,-0.020496815569781224
Li,4.825522042741279e+18,2.828600681137559,177576.27790782147,1.9554438889975916,97.77219444987958,-0.009777219444987958,-0.04345430864439093,-0.021727154322195463
Li,5.115178099293145e+18,2.828600681137559,188235.44471720528,2.0728210682289028,103.64105341144514,-0.010364105341144514,-0.046062690405086724,-0.023031345202543362
Li,5.422221006501592e+18,2.828600681137559,199534.43706189655,2.197243912274132,109.8621956137066,-0.01098621956137066,-0.048827642494980714,-0.024413821247490357
Li,5.747694424835359e+18,2.828600681137559,211511.66101274037,2.3291353431441424,116.45676715720711,-0.01164567671572071,-0.05175856318098094,-0.02587928159049047
Li,6.092704661368687e+18,2.828600681137559,224207.82799758366,2.468943669102478,123.4471834551239,-0.01234471834551239,-0.05486541486894396,-0.02743270743447198
Li,6.458424430196991e+18,2.828600681137559,237666.09318228613,2.6171441084967335,130.85720542483668,-0.013085720542483668,-0.05815875796659408,-0.02907937898329704
Li,6.846096838574672e+18,2.828600681137559,251932.20215816848,2.774240405059181,138.71202025295906,-0.013871202025295907,-0.06164978677909293,-0.030824893389546464
Li,7.257039612324231e+18,2.828600681137559,267054.64643449965,2.9407665401672087,147.03832700836043,-0.014703832700836044,-0.0653503675592713,-0.03267518377963565
Li,7.692649574879161e+18,2.828600681137559,283084.8282645523,3.117288547883623,155.86442739418115,-0.015586442739418116,-0.0692730788418583,-0.03463653942092915
Li,8.154407395185187e+18,2.828600681137559,300077.2353654827,3.3044064389463124,165.22032194731563,-0.016522032194731563,-0.07343125419880694,-0.03671562709940347
Li,8.643882620598297e+18,2.828600681137559,318089.6261259184,3.5027562402469927,175.13781201234963,-0.017513781201234965,-0.0778390275610443,-0.03891951378052215
Li,9.162739011886769e+18,2.828600681137559,337183.2259307906,3.713012156731423,185.65060783657114,-0.018565060783657116,-0.08251138126069829,-0.041255690630349146
Li,9.712740198471207e+18,2.828600681137559,357422.935270729,3.935888863069499,196.79444315347493,-0.019679444315347495,-0.08746419695709999,-0.043732098478549995
Li,1.0295755673125085e+19,2.828600681137559,378877.5503433989,4.172143932884768,208.6071966442384,-0.020860719664423842,-0.09271430961966153,-0.04635715480983076
Li,1.0913767146512693e+19,2.828600681137559,401619.99689663376,4.42258041380066,221.129020690033,-0.0221129020690033,-0.09827956475112579,-0.04913978237556289
Li,1.1568875283162786e+19,2.828600681137559,425727.5781081717,4.688049557055739,234.40247785278694,-0.023440247785278697,-0.1041788790456831,-0.05208943952284155
Li,1.2263306841775593e+19,2.828600681137559,451282.2373446129,4.969453710966737,248.47268554833684,-0.024847268554833685,-0.11043230468814973,-0.05521615234407486
Li,1.2999422244132422e+19,2.828600681137559,478370.83669269236,5.267749388074028,263.3874694037014,-0.026338746940370143,-0.11706109751275619,-0.058530548756378094
