material,electron_density,electron_temperature_ev,ion_current_density,net_current_density,ohmic_heat_flux,plasma_heat_flux,retained_heat_flux,delta_b,feedback,classification,semi_infinite_delta_t
Li,4.051304969235378e+18,64.03928217403187,35826.41124462228,716.5282248924456,0.0032088293566719943,16060083.61284092,16060083.61604975,9.004159229647368e-06,1.8008318459294736e-06,weak-feedback,176.8512817916857
Li,4.294487988789272e+18,64.03928217403187,37976.92198928517,759.5384397857034,0.0036056165094506287,17024103.7636112,17024103.767216817,9.544641530199278e-06,1.9089283060398555e-06,weak-feedback,187.4669300960651
Li,4.5522682755073096e+18,64.03928217403187,40256.51896676477,805.1303793352954,0.00405146829830373,18045990.042198405,18045990.046249874,1.0117566739606911e-05,2.023513347921382e-06,weak-feedback,198.71979170082832
Li,4.825522042741279e+18,64.03928217403187,42672.95068775519,853.4590137551038,0.004552451800998965,19129215.91204191,19129215.91659436,1.0724882271012097e-05,2.1449764542024194e-06,weak-feedback,210.6481158752361
Li,5.115178099293145e+18,64.03928217403187,45234.430773881926,904.6886154776386,0.005115384318592791,20277463.33417235,20277463.339287736,1.1368652432683483e-05,2.2737304865366968e-06,weak-feedback,223.2924478334075
Li,5.422221006501592e+18,64.03928217403187,47949.665876380364,958.9933175276074,0.0057479261441412905,21494635.282456484,21494635.28820441,1.205106544474574e-05,2.410213088949148e-06,weak-feedback,236.69576655035854
Li,5.747694424835359e+18,64.03928217403187,50827.8852706165,1016.5577054123299,0.006458684802707383,22784869.010080297,22784869.01653898,1.2774440877093893e-05,2.5548881754187785e-06,weak-feedback,250.9036308505669
Li,6.092704661368687e+18,64.03928217403187,53878.872227044085,1077.5774445408817,0.007257332181145357,24152550.112363994,24152550.119621325,1.3541237533774788e-05,2.7082475067549574e-06,weak-feedback,265.96433426562623
Li,6.458424430196991e+18,64.03928217403187,57112.99726522997,1142.2599453045993,0.008154736141545415,25602327.43370941,25602327.441864144,1.4354061810635234e-05,2.8708123621270467e-06,weak-feedback,281.9290691873629
Li,6.846096838574672e+18,64.03928217403187,60541.253403980554,1210.8250680796111,0.009163108409312469,27139128.869349547,27139128.878512654,1.521567655464507e-05,3.043135310929014e-06,weak-feedback,298.8521008743825
Li,7.257039612324231e+18,64.03928217403187,64175.29352738705,1283.505870547741,0.010296170748315717,28768178.11561162,28768178.12590779,1.6129010455008625e-05,3.225802091001725e-06,weak-feedback,316.7909519035076
Li,7.692649574879161e+18,64.03928217403187,68027.46999379928,1360.5493998759857,0.011569341684393155,30495012.42562879,30495012.437198132,1.7097167997985595e-05,3.419433599597119e-06,weak-feedback,335.8065976930702
Li,8.154407395185187e+18,64.03928217403187,72110.87662236181,1442.2175324472364,0.012999946318113721,32325501.430853587,32325501.443853535,1.812344001925855e-05,3.6246880038517103e-06,weak-feedback,355.9636737626544
Li,8.643882620598297e+18,64.03928217403187,76439.39319982746,1528.7878639965493,0.014607452081894571,34265867.09234867,34265867.106956124,1.9211314889715166e-05,3.8422629779430334e-06,weak-feedback,377.3306954337827
Li,9.162739011886769e+18,64.03928217403187,81027.73265893014,1620.5546531786028,0.016413733649617637,36322704.849670716,36322704.86608445,2.0364490372666616e-05,4.072898074533323e-06,weak-feedback,399.9802907183217
Li,9.712740198471207e+18,64.03928217403187,85891.49108867957,1717.8298217735914,0.018443370603591806,38503006.03923406,38503006.057677425,2.1586886192805515e-05,4.317377238561103e-06,weak-feedback,423.98944718621306
Li,1.0295755673125085e+19,64.03928217403187,91047.20074656559,1820.9440149313118,0.020723981909463538,40814181.65835527,40814181.67907926,2.2882657359626048e-05,4.5765314719252095e-06,weak-feedback,449.43977365164557
Li,1.0913767146512693e+19,64.03928217403187,96512.38625286882,1930.2477250573763,0.023286601750557356,43264087.55575634,43264087.57904294,2.4256208290594658e-05,4.851241658118931e-06,weak-feedback,476.4177775671794
Li,1.1568875283162786e+19,64.03928217403187,102305.62415807496,2046.1124831614993,0.026166101835933226,45861051.1341459,45861051.160312004,2.5712207782074143e-05,5.142441556414829e-06,weak-feedback,505.01515906865427
Li,1.2263306841775593e+19,64.03928217403187,108446.60608588129,2168.9321217176257,0.02940166592886576,48613899.655648835,48613899.6850505,2.7255604878892067e-05,5.451120975778414e-06,weak-feedback,535.3291226704267
Li,1.2999422244132422e+19,64.03928217403187,114956.20566641193,2299.1241133282388,0.033037323053046005,51531990.24629176,51531990.27932908,2.8891645696492566e-05,5.778329139298513e-06,weak-feedback,567.4627076703636
Li,1.377972359833554e+19,64.03928217403187,121856.54948715688,2437.130989743138,0.037122546632289796,54625241.70153342,54625241.73865597,3.062589125285225e-05,6.12517825057045e-06,weak-feedback,601.5251383876775
Li,1.460686320364986e+19,64.03928217403187,129171.09230280133,2583.421846056027,0.04171292771674706,57904168.20094907,57904168.242662,3.246423637077198e-05,6.492847274154396e-06,weak-feedback,637.6321954240859
Li,1.548365256585496e+19,64.03928217403187,136924.69675958913,2738.493935191783,0.04687093145676361,61379915.04666754,61379915.09353847,3.441292971479483e-05,6.882585942958966e-06,weak-feedback,675.9066092102398
Li,1.6413071953751267e+19,64.03928217403187,145143.7179052085,2902.87435810417,0.05266674711836686,65064296.5470381,65064296.59970485,3.647859503085699e-05,7.295719006171398e-06,weak-feedback,716.4784771751075
Li,1.7398280529303622e+19,64.03928217403187,153856.0927714553,3077.121855429106,0.05917924320724664,68969836.17429675,68969836.233476,3.8668253660866695e-05,7.733650732173338e-06,weak-feedback,759.4857059563079
Li,1.8442627085855328e+19,64.03928217403187,163091.43533417236,3261.8287066834473,0.06649704069840132,73109809.13273054,73109809.19922759,4.098934840874006e-05,8.197869681748012e-06,weak-feedback,805.074480154495
Li,1.9549661430912594e+19,64.03928217403187,172881.13717323882,3457.6227434647767,0.07471971897578056,77498287.48203187,77498287.55675158,4.344976883901571e-05,8.689953767803142e-06,weak-feedback,853.3997592251208
Li,2.0723146452190294e+19,64.03928217403187,183258.47417476156,3665.1694834952314,0.08395917089215438,82150187.96922062,82150188.0531798,4.605787809404047e-05,9.211575618808093e-06,weak-feedback,904.6258041965519
Li,2.1967070907932353e+19,64.03928217403187,194258.71963815577,3885.1743927631155,0.09434112538863904,87081322.73171803,87081322.82605916,4.882254132087916e-05,9.764508264175832e-06,weak-feedback,958.9267360048865
Li,2.3285662984981967e+19,64.03928217403187,205919.2641725743,4118.385283451486,0.10600685839343614,92308453.04391548,92308453.14992234,5.175315580457403e-05,1.0350631160914807e-05,weak-feedback,1016.4871273432952
Li,2.468340467068651e+19,64.03928217403187,218279.74279022173,4365.594855804435,0.1191151152814134,97849346.28992675,97849346.40904187,5.485968291017842e-05,1.0971936582035684e-05,weak-feedback,1077.5026300376223
Li,2.6165046987488236e+19,64.03928217403187,231382.16962855277,4627.643392571055,0.1338442710550409,103722836.35617818,103722836.49002245,5.81526819421383e-05,1.163053638842766e-05,weak-feedback,1142.1806400807395
