material,electron_density,electron_temperature_ev,heat_flux,retained_heat_flux,semi_infinite_delta_t,lumped_delta_t,thermal_regime
Li,1.5941590374560028e+18,2.9721969969364097,63187.506063784225,63187.506063784225,0.6958115354662633,0.15044644300901006,transient-slab
Li,1.689849786812462e+18,2.9721969969364097,66980.38974925289,66980.38974925289,0.7375782134922457,0.1594771184506021,transient-slab
Li,1.7912844546220096e+18,2.9721969969364097,71000.94449736763,71000.94449736763,0.781851971818582,0.1690498678508753,transient-slab
Li,1.898807824465269e+18,2.9721969969364097,75262.83645691245,75262.83645691245,0.8287833000683268,0.17919722965931537,transient-slab
Li,2.0127853758499466e+18,2.9721969969364097,79780.55209885222,79780.55209885222,0.8785317211318976,0.18995369547345767,transient-slab
Li,2.133604526501402e+18,2.9721969969364097,84569.44745686682,84569.44745686682,0.9312663333966033,0.20135582727825435,transient-slab
Li,2.2616759492228552e+18,2.9721969969364097,89645.8003235943,89645.8003235943,0.9871663855240075,0.21344238172284358,transient-slab
Li,2.3974349678010685e+18,2.9721969969364097,95026.86557999034,95026.86557999034,1.0464218857287082,0.22625444185711985,transient-slab
Li,2.541343036702629e+18,2.9721969969364097,100730.93384588679,100730.93384588679,1.1092342476296724,0.23983555677592092,transient-slab
Li,2.693889309590164e+18,2.9721969969364097,106777.39365109605,106777.39365109605,1.175816974869307,0.2542318896454668,transient-slab
Li,2.8555923019901005e+18,2.9721969969364097,113186.79733838972,113186.79733838972,1.2463963868273782,0.2694923746152136,transient-slab
Li,3.0270016537634555e+18,2.9721969969364097,119980.93092235914,119980.93092235914,1.3212123878965227,0.28566888314847416,transient-slab
Li,3.208699997370444e+18,2.9721969969364097,127182.88814161367,127182.88814161367,1.4005192829341795,0.3028164003371754,transient-slab
Li,3.401304938279246e+18,2.9721969969364097,134817.14895602482,134817.14895602482,1.48458664166271,0.3209932118000591,transient-slab
Li,3.6054711542504986e+18,2.9721969969364097,142909.6627558341,142909.6627558341,1.5737002149558734,0.34026110179960506,transient-slab
Li,3.821892620633115e+18,2.9721969969364097,151487.93656545837,151487.93656545837,1.668162906126173,0.36068556325109136,transient-slab
Li,4.051304969235378e+18,2.9721969969364097,160581.1285418032,160581.1285418032,1.7682958005145522,0.38233602033762665,transient-slab
Li,4.294487988789272e+18,2.9721969969364097,170220.147084892,170220.147084892,1.8744392568820836,0.4052860644878381,transient-slab
