electron_density,electron_temperature_ev,heat_flux,ion_current_density,normal_stress,surface_displacement
2.693889309590164e+18,2.2082177399473606,68379.4764183022,4423.701727628948,0.9530858790597029,2.2474294606770225e-05
2.8555923019901005e+18,2.2082177399473606,72484.01253128101,4689.238178698348,1.0102956679361152,2.3823333216877548e-05
3.0270016537634555e+18,2.2082177399473606,76834.92690839984,4970.713680632355,1.0709395229498968,2.525334901462982e-05
3.208699997370444e+18,2.2082177399473606,81447.00861409133,5269.0849884882955,1.135223576835802,2.676920272444942e-05
3.401304938279246e+18,2.2082177399473606,86335.93443893362,5585.366287357907,1.203366335620956,2.8376046839868004e-05
3.6054711542504986e+18,2.2082177399473606,91518.32218616594,5920.632639653912,1.275599421342232,3.007934313721494e-05
3.821892620633115e+18,2.2082177399473606,97011.7871567723,6276.023639322871,1.3521683593458673,3.188488124057974e-05
4.051304969235378e+18,2.2082177399473606,102835.00202513018,6652.747285405286,1.4333334128454127,3.379879830115218e-05
4.294487988789272e+18,2.2082177399473606,109007.7603087461,7052.08408810942,1.5193704675747244,3.582759985783146e-05
4.5522682755073096e+18,2.2082177399473606,115551.04364781578,7475.391421355698,1.610571969543007,3.797818195001113e-05
4.825522042741279e+18,2.2082177399473606,122487.09312329705,7924.108136586261,1.7072479190793983,4.025785455770277e-05
5.115178099293145e+18,2.2082177399473606,129839.48485591059,8399.759453522374,1.8097269245459227,4.267436644867289e-05
5.422221006501592e+18,2.2082177399473606,137633.210143035,8903.962144493691,1.9183573193004608,4.5235931517050436e-05
5.747694424835359e+18,2.2082177399473606,145894.7604058867,9438.430029961273,2.0335083457063665,4.795125670293139e-05
6.092704661368687e+18,2.2082177399473606,154652.21723572677,10004.979803914068,2.15557141021327,5.082957158788155e-05
6.458424430196991e+18,2.2082177399473606,163935.34784516765,10605.537208939726,2.2849614137751706,5.388065976693434e-05
6.846096838574672e+18,2.2082177399473606,173775.70624902536,11242.143581959308,2.4221181621279997,5.7114892103719424e-05
7.257039612324231e+18,2.2082177399473606,184206.74051863857,11916.962792875262,2.5675078607202986,6.054326198175868e-05
7.692649574879161e+18,2.2082177399473606,195263.906474219,12632.288599717634,2.7216246993783777,6.41774226717512e-05
8.154407395185187e+18,2.2082177399473606,206984.78820168166,13390.55244528919,2.8849925320923404,6.802972694186113e-05
8.643882620598297e+18,2.2082177399473606,219409.22580360045,14194.33172181075,3.0581666576327007,7.211326904564678e-05
9.162739011886769e+18,2.2082177399473606,232579.45081852248,15046.358531658898,3.2417357070500104,7.644192923035082e-05
9.712740198471207e+18,2.2082177399473606,246540.22976894284,15949.528973974397,3.4363236444732657,8.103042091683825e-05
1.0295755673125085e+19,2.2082177399473606,261339.01632586532,16906.912988707038,3.6425918880079036,8.589434071154973e-05
1.0913767146512693e+19,2.2082177399473606,277026.1126071811,17921.764791558282,3.8612415579426425,9.105022142046805e-05
1.1568875283162786e+19,2.2082177399473606,293654.84015809814,18997.53393528887,4.093015859906559,9.651558824528624e-05
1.2263306841775593e+19,2.2082177399473606,311281.7211948373,20137.877034992136,4.338702611077482,0.00010230901835280511
1.2999422244132422e+19,2.2082177399473606,329966.6707276248,21346.670197186166,4.599136918028045,0.00010845020402003117
1.377972359833554e+19,2.2082177399473606,349773.2002160315,22628.022194972844,4.8752040153117475,0.0001149600195696131
1.460686320364986e+19,2.2082177399473606,370768.63344889856,23986.288434047066,5.167842274437557,0.00012186059232313496
1.548365256585496e+19,2.2082177399473606,393024.3353826364,25426.085757027446,5.47804639346076,0.00012917537781344056
1.6413071953751267e+19,2.2082177399473606,416615.95471574005,26952.308136429605,5.806870778031724,0.0001369292395116421
1.7398280529303622e+19,2.2082177399473606,441623.6810240421,28570.143309623432,6.15543312539496,0.00014514853333980927
1.8442627085855328e+19,2.2082177399473606,468132.51733073016,30285.09041231786,6.524918223520794,0.00015386119725660543
1.9549661430912594e+19,2.2082177399473606,496232.5690376098,32102.978670510412,6.916581978283125,0.00016309684622037632
2.0723146452190294e+19,2.2082177399473606,526019.3501997121,34029.98721443704,7.331755682371955,0.00017288687285248
2.1967070907932353e+19,2.2082177399473606,557594.1081842947,36072.66608187098,7.771850540451015,0.00018326455414301767
2.3285662984981967e+19,2.2082177399473606,591064.1678177736,38237.958482162525,8.238362465941815,0.00019426516456166716
