material,velocity,magnetic_field,re,ha,interaction,rm,feedback,classification
PbLi,0.01,7.108556062724371,2777.777777777778,7687.733777885637,21276.450230271752,0.000502654824574367,3.573150000685771e-05,drag-important
PbLi,0.01,7.383293401765052,2777.777777777778,7984.855655064726,22952.85113959889,0.000502654824574367,3.711248049645293e-05,drag-important
PbLi,0.01,7.668649016134385,2777.777777777778,8293.46094366896,24761.337992698474,0.000502654824574367,3.8546834259274205e-05,drag-important
PbLi,0.01,7.965033289697003,2777.777777777778,8613.993464056537,26712.318023571148,0.000502654824574367,4.00366241096164e-05,drag-important
PbLi,0.01,8.272872467171695,2777.777777777778,8946.914189721,28817.01846656315,0.000502654824574367,4.1583992587122986e-05,drag-important
PbLi,0.01,8.59260926713478,2777.777777777778,9292.701910239759,31087.551165326524,0.000502654824574367,4.319116503807712e-05,drag-important
PbLi,0.01,8.924703518715342,2777.777777777778,9651.853919844798,33536.98227240842,0.000502654824574367,4.486045281578095e-05,drag-important
PbLi,0.01,9.26963282289799,2777.777777777778,10024.886732605826,36179.40744056747,0.000502654824574367,4.659425660462582e-05,drag-important
PbLi,0.01,9.627893239384193,2777.777777777778,10412.336825254431,39030.03293851783,0.000502654824574367,4.839506987263395e-05,drag-important
PbLi,0.01,10.0,2777.777777777778,10814.761408717502,42105.26315789474,0.000502654824574367,5.026548245743669e-05,drag-important
PbLi,0.01060025848806882,0.5,2944.5162466857832,540.7380704358751,99.30244438210293,0.0005328271070763177,2.664135535381588e-06,drag-important
PbLi,0.01060025848806882,0.5193244124838053,2944.5162466857832,561.6369614734748,107.12662117188124,0.0005328271070763177,2.7671012433785434e-06,drag-important
PbLi,0.01060025848806882,0.5393956908032993,2944.5162466857832,583.3435700928039,115.56727566086046,0.0005328271070763177,2.8740464550015386e-06,drag-important
PbLi,0.01060025848806882,0.5602427004454394,2944.5162466857832,605.8891136293018,124.67298097869028,0.0005328271070763177,2.985124973389675e-06,drag-important
PbLi,0.01060025848806882,0.5818954225143368,2944.5162466857832,629.3060159317416,134.4961373990144,0.0005328271070763177,3.100496545992656e-06,drag-important
PbLi,0.01060025848806882,0.6043849968485473,2944.5162466857832,653.627953992552,145.09327388543366,0.0005328271070763177,3.220327094311408e-06,drag-important
PbLi,0.01060025848806882,0.6277437668047968,2944.5162466857832,678.8899063803476,156.5253733966916,0.0005328271070763177,3.344788952517904e-06,drag-important
PbLi,0.01060025848806882,0.652005325772544,2944.5162466857832,705.1282035443193,168.85822382310565,0.0005328271070763177,3.474061115297366e-06,drag-important
PbLi,0.01060025848806882,0.6772045654862772,2944.5162466857832,732.3805800628296,182.16279657376444,0.0005328271070763177,3.6083294952692775e-06,drag-important
PbLi,0.01060025848806882,0.7033777262050231,2944.5162466857832,760.6862289113551,196.51565499313307,0.0005328271070763177,3.7477871903574067e-06,drag-important
PbLi,0.01060025848806882,0.7305624488312371,2944.5162466857832,790.0858578278219,211.99939495736768,0.0005328271070763177,3.892634761493384e-06,drag-important
PbLi,0.01060025848806882,0.7587978290440246,2944.5162466857832,820.6217478563939,228.70312018582155,0.0005328271070763177,4.043080521053178e-06,drag-important
PbLi,0.01060025848806882,0.7881244735245502,2944.5162466857832,852.3378141539105,246.7229550030024,0.0005328271070763177,4.199340832441319e-06,drag-important
