y,ux
3.796720000000000095e-01,4.999813490279998978e-04
3.837849999999999873e-01,4.999820073075000350e-04
3.878980000000000206e-01,4.999810325800000408e-04
3.919980000000000131e-01,4.999816216399999291e-04
3.960969999999999769e-01,4.999805169140000144e-04
4.001830000000000109e-01,4.999811560700000591e-04
4.042689999999999895e-01,4.999802577039999790e-04
4.083399999999999808e-01,4.999805905825000256e-04
4.124120000000000008e-01,4.999800233059999459e-04
4.164689999999999781e-01,4.999799706450000361e-04
4.205260000000000109e-01,4.999798321799999367e-04
4.245680000000000009e-01,4.999792097874999853e-04
4.286099999999999910e-01,4.999792447620000609e-04
4.326380000000000225e-01,4.999783329224999958e-04
4.366650000000000253e-01,4.999783623379999795e-04
4.406769999999999854e-01,4.999773172550000221e-04
4.446880000000000277e-01,4.999770495019999119e-04
4.486850000000000005e-01,4.999760789725000466e-04
4.526810000000000000e-01,4.999757636880000416e-04
4.566609999999999836e-01,4.999747200174999755e-04
4.606410000000000227e-01,4.999744361100000355e-04
4.646049999999999902e-01,4.999730909324999386e-04
4.685690000000000133e-01,4.999725102500000243e-04
4.725159999999999916e-01,4.999711370625000090e-04
4.764630000000000254e-01,4.999702167160000434e-04
4.803939999999999877e-01,4.999689523675000151e-04
4.843239999999999768e-01,4.999676316859999817e-04
4.882369999999999766e-01,4.999663095824999522e-04
4.921499999999999764e-01,4.999648374079999165e-04
4.960459999999999869e-01,4.999632909450000499e-04
4.999419999999999975e-01,4.999618015720000115e-04
5.038200000000000456e-01,4.999598816399999533e-04
5.076979999999999826e-01,4.999581151579999974e-04
5.115570000000000395e-01,4.999557538475000009e-04
5.154170000000000140e-01,4.999534027160000083e-04
5.192590000000000261e-01,4.999509647949999499e-04
5.231000000000000094e-01,4.999478312059999060e-04
5.269230000000000302e-01,4.999454018150000130e-04
5.307460000000000511e-01,4.999415778019999880e-04
5.345490000000000519e-01,4.999389724549999992e-04
5.383529999999999704e-01,4.999349485019999794e-04
5.421369999999999800e-01,4.999316443174999696e-04
5.459220000000000184e-01,4.999278155480000631e-04
5.496870000000000367e-01,4.999231037225000890e-04
5.534510000000000263e-01,4.999195070440000301e-04
5.571960000000000246e-01,4.999131659775000232e-04
5.609410000000000229e-01,4.999093469819999771e-04
5.646660000000000013e-01,4.999016754925000123e-04
5.683909999999999796e-01,4.998968816460000204e-04
5.720950000000000202e-01,4.998884515525000172e-04
5.757989999999999498e-01,4.998821578280000138e-04
5.794820000000000526e-01,4.998732733899999454e-04
5.831659999999999622e-01,4.998653835440001070e-04
5.868280000000000163e-01,4.998557028025000116e-04
5.904899999999999594e-01,4.998461439560000861e-04
5.941309999999999647e-01,4.998354021424999787e-04
5.977719999999999700e-01,4.998239233199999266e-04
6.013910000000000089e-01,4.998120675399999376e-04
6.050100000000000477e-01,4.997986034900000259e-04
6.086070000000000091e-01,4.997853697724999322e-04
6.122049999999999992e-01,4.997697589099998981e-04
6.157789999999999653e-01,4.997547975349999954e-04
6.193539999999999601e-01,4.997366838360000610e-04
6.229059999999999597e-01,4.997196840374999597e-04
6.264589999999999881e-01,4.996989915560000935e-04
6.299879999999999924e-01,4.996794200824999791e-04
6.335169999999999968e-01,4.996561258019999088e-04
6.370230000000000059e-01,4.996332317649999650e-04
6.405290000000000150e-01,4.996071605899999593e-04
6.440120000000000289e-01,4.995804993875000051e-04
6.474940000000000140e-01,4.995511016680000702e-04
6.509530000000000038e-01,4.995204491200000213e-04
6.544119999999999937e-01,4.994868016840000495e-04
6.578460000000000418e-01,4.994518940199999977e-04
6.612810000000000077e-01,4.994132839179999880e-04
6.646910000000000318e-01,4.993737470950000180e-04
6.681009999999999449e-01,4.993297287440000027e-04
6.714869999999999450e-01,4.992847770249999109e-04
6.748720000000000274e-01,4.992349506079999614e-04
6.782319999999999460e-01,4.991836597699999666e-04
6.815930000000000044e-01,4.991274148019999657e-04
6.849279999999999813e-01,4.990690236075000577e-04
6.882629999999999582e-01,4.990054119019999863e-04
6.915719999999999645e-01,4.989390424199999143e-04
6.948819999999999997e-01,4.988670859819999007e-04
6.981650000000000356e-01,4.987916617649999513e-04
7.014489999999999892e-01,4.987103680460000087e-04
7.047060000000000546e-01,4.986247913974999708e-04
7.079630000000000090e-01,4.985330494460000345e-04
7.111939999999999928e-01,4.984362557774999793e-04
7.144249999999999767e-01,4.983329654559999619e-04
7.176289999999999614e-01,4.982235956924999966e-04
7.208320000000000283e-01,4.981075553540001118e-04
7.240090000000000137e-01,4.979839486249999694e-04
